n;time;R;G;B;is Buble
0; 18:55:21;140.26814814814816;172.6962962962963;230.78074074074075;[1.];
1; 18:55:21;140.26814814814816;172.6962962962963;230.78074074074075;[1.];
2; 18:55:21;140.26814814814816;172.6962962962963;230.78074074074075;[1.];
3; 18:55:21;140.26814814814816;172.6962962962963;230.78074074074075;[1.];
4; 18:55:21;140.26814814814816;172.6962962962963;230.78074074074075;[1.];
5; 18:55:21;140.26814814814816;172.6962962962963;230.78074074074075;[1.];
6; 18:55:21;136.77925925925925;176.31703703703704;228.96;[1.];
7; 18:55:21;136.77925925925925;176.31703703703704;228.96;[1.];
8; 18:55:21;136.77925925925925;176.31703703703704;228.96;[1.];
9; 18:55:21;139.6562962962963;184.91555555555556;231.05037037037036;[1.];
10; 18:55:21;139.6562962962963;184.91555555555556;231.05037037037036;[1.];
11; 18:55:21;140.41666666666666;184.7574074074074;231.26555555555555;[1.];
12; 18:55:21;139.78037037037038;182.75222222222223;231.48851851851853;[1.];
13; 18:55:21;139.78037037037038;182.75222222222223;231.48851851851853;[1.];
14; 18:55:21;138.62148148148148;182.7237037037037;230.7637037037037;[1.];
15; 18:55:21;140.46814814814815;185.04888888888888;231.45925925925926;[1.];
16; 18:55:21;140.0288888888889;184.83777777777777;231.45555555555555;[1.];
17; 18:55:21;139.91296296296295;185.23296296296297;231.18851851851852;[1.];
18; 18:55:21;139.91296296296295;185.23296296296297;231.18851851851852;[1.];
19; 18:55:21;140.24444444444444;185.03407407407408;231.36444444444444;[1.];
20; 18:55:22;140.24444444444444;185.03407407407408;231.36444444444444;[1.];
21; 18:55:22;140.55037037037036;185.00666666666666;231.12222222222223;[1.];
22; 18:55:22;140.35962962962964;185.1625925925926;231.71074074074073;[1.];
23; 18:55:22;140.35962962962964;185.1625925925926;231.71074074074073;[1.];
24; 18:55:22;139.93962962962962;185.3011111111111;231.26555555555555;[1.];
25; 18:55:22;140.09222222222223;185.50555555555556;231.35592592592593;[1.];
26; 18:55:22;140.33333333333334;185.44296296296295;231.22074074074075;[1.];
27; 18:55:22;140.33333333333334;185.44296296296295;231.22074074074075;[1.];
28; 18:55:22;140.01407407407407;185.26148148148147;231.26444444444445;[1.];
29; 18:55:22;140.35666666666665;185.22925925925927;231.36111111111111;[1.];
30; 18:55:22;140.35666666666665;185.22925925925927;231.36111111111111;[1.];
31; 18:55:22;140.14037037037036;185.35666666666665;231.50629629629628;[1.];
32; 18:55:22;140.14037037037036;185.35666666666665;231.50629629629628;[1.];
33; 18:55:22;140.14037037037036;185.35666666666665;231.50629629629628;[1.];
34; 18:55:22;140.14037037037036;185.35666666666665;231.50629629629628;[1.];
35; 18:55:22;140.14037037037036;185.35666666666665;231.50629629629628;[1.];
36; 18:55:22;140.14037037037036;185.35666666666665;231.50629629629628;[1.];
37; 18:55:22;140.14037037037036;185.35666666666665;231.50629629629628;[1.];
38; 18:55:22;140.14037037037036;185.35666666666665;231.50629629629628;[1.];
39; 18:55:22;140.14037037037036;185.35666666666665;231.50629629629628;[1.];
40; 18:55:22;140.14037037037036;185.35666666666665;231.50629629629628;[1.];
41; 18:55:22;140.14037037037036;185.35666666666665;231.50629629629628;[1.];
42; 18:55:22;140.14037037037036;185.35666666666665;231.50629629629628;[1.];
43; 18:55:22;140.14037037037036;185.35666666666665;231.50629629629628;[1.];
44; 18:55:22;140.14037037037036;185.35666666666665;231.50629629629628;[1.];
45; 18:55:22;140.14037037037036;185.35666666666665;231.50629629629628;[1.];
