n;time;R;G;B;is Buble
0; 16:43:11;168.9;216.72588235294117;255.0;[1.];
1; 16:43:11;169.65176470588236;217.05176470588236;255.0;[1.];
2; 16:43:11;169.65176470588236;217.05176470588236;255.0;[1.];
3; 16:43:11;169.65176470588236;217.05176470588236;255.0;[1.];
4; 16:43:11;169.65176470588236;217.05176470588236;255.0;[1.];
5; 16:43:11;153.94823529411764;206.57882352941178;255.0;[1.];
6; 16:43:11;169.19882352941175;217.02705882352942;255.0;[1.];
7; 16:43:11;169.19882352941175;217.02705882352942;255.0;[1.];
8; 16:43:11;169.19882352941175;217.02705882352942;255.0;[1.];
9; 16:43:11;169.19882352941175;217.02705882352942;255.0;[1.];
10; 16:43:11;169.51764705882354;216.96470588235294;255.0;[1.];
11; 16:43:11;169.51764705882354;216.96470588235294;255.0;[1.];
12; 16:43:11;169.51764705882354;216.96470588235294;255.0;[1.];
13; 16:43:11;169.24941176470588;217.0329411764706;255.0;[1.];
14; 16:43:11;169.24941176470588;217.0329411764706;255.0;[1.];
15; 16:43:11;169.24941176470588;217.0329411764706;255.0;[1.];
16; 16:43:11;169.24941176470588;217.0329411764706;255.0;[1.];
17; 16:43:11;169.24941176470588;217.0329411764706;255.0;[1.];
18; 16:43:11;169.24941176470588;217.0329411764706;255.0;[1.];
19; 16:43:11;169.07882352941178;216.97764705882352;255.0;[1.];
20; 16:43:11;169.07882352941178;216.97764705882352;255.0;[1.];
21; 16:43:11;169.11058823529413;216.6070588235294;255.0;[1.];
22; 16:43:11;169.47882352941176;216.8505882352941;255.0;[1.];
23; 16:43:11;139.3364705882353;208.43058823529412;255.0;[1.];
24; 16:43:11;139.3364705882353;208.43058823529412;255.0;[1.];
25; 16:43:12;139.3364705882353;208.43058823529412;255.0;[1.];
26; 16:43:12;141.03882352941176;206.5494117647059;255.0;[1.];
27; 16:43:12;141.03882352941176;206.5494117647059;255.0;[1.];
28; 16:43:12;141.03882352941176;206.5494117647059;255.0;[1.];
29; 16:43:12;117.96705882352941;202.1129411764706;255.0;[1.];
30; 16:43:12;117.96705882352941;202.1129411764706;255.0;[1.];
31; 16:43:12;117.96705882352941;202.1129411764706;255.0;[1.];
32; 16:43:12;138.4470588235294;205.1670588235294;255.0;[1.];
33; 16:43:12;138.4470588235294;205.1670588235294;255.0;[1.];
34; 16:43:12;123.32352941176471;201.52117647058824;255.0;[1.];
35; 16:43:12;123.32352941176471;201.52117647058824;255.0;[1.];
36; 16:43:12;123.32352941176471;201.52117647058824;255.0;[1.];
37; 16:43:12;123.32352941176471;201.52117647058824;255.0;[1.];
38; 16:43:12;120.56588235294117;200.5564705882353;255.0;[1.];
39; 16:43:12;158.59882352941176;212.0741176470588;255.0;[1.];
40; 16:43:12;158.59882352941176;212.0741176470588;255.0;[1.];
41; 16:43:12;158.59882352941176;212.0741176470588;255.0;[1.];
42; 16:43:12;158.59882352941176;212.0741176470588;255.0;[1.];
43; 16:43:12;114.94823529411765;202.30117647058825;255.0;[1.];
44; 16:43:12;114.94823529411765;202.30117647058825;255.0;[1.];
45; 16:43:12;114.94823529411765;202.30117647058825;255.0;[1.];
46; 16:43:12;136.4764705882353;204.4364705882353;255.0;[1.];
47; 16:43:12;136.4764705882353;204.4364705882353;255.0;[1.];
48; 16:43:12;136.4764705882353;204.4364705882353;255.0;[1.];
49; 16:43:12;152.08823529411765;211.28117647058824;255.0;[1.];
50; 16:43:12;152.08823529411765;211.28117647058824;255.0;[1.];
51; 16:43:12;152.08823529411765;211.28117647058824;255.0;[1.];
52; 16:43:12;110.1635294117647;203.08117647058825;255.0;[1.];
53; 16:43:12;110.1635294117647;203.08117647058825;255.0;[1.];
54; 16:43:12;143.68470588235294;206.41647058823528;255.0;[1.];
55; 16:43:12;143.68470588235294;206.41647058823528;255.0;[1.];
56; 16:43:12;143.68470588235294;206.41647058823528;255.0;[1.];
57; 16:43:12;143.68470588235294;206.41647058823528;255.0;[1.];
58; 16:43:12;143.68470588235294;206.41647058823528;255.0;[1.];
59; 16:43:12;143.68470588235294;206.41647058823528;255.0;[1.];
60; 16:43:12;161.0635294117647;213.91529411764705;255.0;[1.];
61; 16:43:12;161.0635294117647;213.91529411764705;255.0;[1.];
62; 16:43:12;105.87647058823529;204.5141176470588;255.0;[1.];
63; 16:43:12;130.5329411764706;203.93529411764706;255.0;[1.];
64; 16:43:12;130.5329411764706;203.93529411764706;255.0;[1.];
65; 16:43:12;162.87764705882353;214.34588235294117;255.0;[1.];
66; 16:43:12;162.87764705882353;214.34588235294117;255.0;[1.];
67; 16:43:12;162.87764705882353;214.34588235294117;255.0;[1.];
68; 16:43:12;162.87764705882353;214.34588235294117;255.0;[1.];
69; 16:43:12;100.95176470588235;205.26235294117646;255.0;[1.];
70; 16:43:12;100.95176470588235;205.26235294117646;255.0;[1.];
71; 16:43:12;123.6;203.3035294117647;255.0;[1.];
72; 16:43:12;158.05058823529413;213.57294117647058;255.0;[1.];
73; 16:43:12;158.05058823529413;213.57294117647058;255.0;[1.];
74; 16:43:12;158.05058823529413;213.57294117647058;255.0;[1.];
75; 16:43:12;158.05058823529413;213.57294117647058;255.0;[1.];
76; 16:43:12;97.12941176470588;205.34588235294117;255.0;[1.];
77; 16:43:12;97.12941176470588;205.34588235294117;255.0;[1.];
78; 16:43:12;134.9364705882353;206.51294117647058;255.0;[1.];
79; 16:43:12;134.9364705882353;206.51294117647058;255.0;[1.];
80; 16:43:12;134.9364705882353;206.51294117647058;255.0;[1.];
81; 16:43:12;134.9364705882353;206.51294117647058;255.0;[1.];
82; 16:43:12;160.47058823529412;213.9670588235294;255.0;[1.];
83; 16:43:12;160.47058823529412;213.9670588235294;255.0;[1.];
84; 16:43:12;92.57058823529412;205.69058823529411;255.0;[1.];
85; 16:43:12;92.57058823529412;205.69058823529411;255.0;[1.];
